LSOA,FTTP_AVAILABILITY,FTTC_AVAILABILITY,GFAST_AVAILABILITY,DSL_AVAILABILITY,CABLE_AVAILABILITY,OPERATOR_COUNT,DOWN_MBPS,UP_MBPS
95GG17S2,1,0,0,0,1,5,139.3678571,15.37928571
S01009041,0,0.672269,0,0.697479,0,2.709402,31.38229688,7.985109375
E01001199,0.153846,0.961538,0,0.961538,0.846154,5.84,112.29265,13.2418
E01002985,0.407407,0.962963,0,1,0.851852,6,52.066,12.79583333
E01033683,0.736111,0.263889,0,0.486111,0.277778,3.727273,99.334,44.1745
E01006091,0.208333,0.763889,0.222222,0.986111,0.416667,4.619718,46.81141071,11.34184524
95BB15S2,1,0.081081,0,0.081081,0,1.783784,47.557175,11.749675
S01013091,0.384615,0.730769,0.038462,0.923077,0,4.84,51.47325,12.4835
E01011660,0.361111,0.75,0,0.75,0.805556,5.027778,82.1906,13.1876
E01006774,1,0,0,0,1,5,46.58194444,12.66744444
95BB01S1,0.627451,0.941176,0,0.941176,0,2.098039,68.94297368,17.44619298
E01004298,0.666667,0.592593,0,1,0.037037,5.814815,95.50816667,23.97783333
E01031393,0.831169,0.909091,0,0.909091,0,5.636364,55.58127941,17.02043382
E01008370,0.571429,0.880952,0,0.904762,0.690476,4.166667,67.86245455,10.29562121
E01018829,0.179104,0.925373,0,0.925373,0,3.179104,47.2743913,9.43773913
S01006640,0,0.444444,0.444444,0.944444,0,3.388889,39.10537037,10.77907407
S01006887,0.125,0.958333,0,0.958333,0,2.958333,28.28727273,9.764545455
E01006032,0.961538,0.961538,0,0.961538,0.576923,6.5,83.59829487,27.27724359
W01001719,0.807692,0.153846,0.038462,0.192308,0.961538,5.038462,58.08918519,10.28240741
E01011266,0.35,0.65,0.25,0.925,0.0375,3.5875,37.4018,8.684366667
E01022404,0.12,0.98,0,0.98,0,4.102041,42.98762037,16.3157963
E01033398,0.444444,0.277778,0,0.611111,0.833333,4.944444,41.65438776,5.906836735
E01022742,0.851064,1,0,1,0.957447,5.93617,49.68204762,8.957083333
E01006836,0,0.588235,0,1,0.568627,4.666667,114.8485278,15.36216667
E01023788,0,1,0,1,0.971429,5.914286,117.99175,17.2655
E01033092,0.325581,0.581395,0.209302,0.976744,0.813953,6.404762,75.58684722,11.30975
E01005188,0.396226,0.698113,0.283019,0.981132,0.90566,5.415094,124.2919444,16.99194444
E01004090,0.8,1,0,1,0.8,6.35,119.2999,63.89885
W01000694,0.460317,0.507937,0,0.52381,0,2.793651,35.77503333,8.943116667
E01019728,0.121622,1,0,1,0,4.121622,19.78661111,5.373333333
W01000189,0.30719,0.666667,0,0.777778,0,1.346667,15.89308065,4.35583871
E01019552,0.392857,1,0,1,0.785714,4.892857,36.83179487,6.707051282
E01017051,0.013699,0.164384,0.205479,0.958904,0.657534,5.408451,54.0645,8.171947368
E01008802,0.121212,0.878788,0,0.878788,0.666667,4.030303,45.15266667,8.095416667
E01026043,0.038462,0.923077,0,0.942308,0,2.903846,33.9982619,7.931484127
E01006615,0.391304,1,0,1,0.956522,5.913043,129.6312,15.3835
S01009809,1,0.857143,0,0.857143,0,6.357143,80.93964,19.25292
E01004666,0.210526,0.894737,0,0.973684,0.105263,5.131579,59.28504762,14.43219048
S01007615,0.657895,0.973684,0,0.973684,0,3.973684,60.19817857,8.497107143
E01016220,0.6,0.8,0.2,1,1,8.2,96.755,12.834375
E01004590,0.916667,0.875,0.083333,1,0.875,6.833333,132.0645,37.84285714
S01011983,0.098039,0.901961,0,0.980392,0,2.294118,38.55083333,7.425027778
S01008992,0.106667,0.413333,0,0.613333,0.173333,3.540541,56.75375,8.106875
E01000154,0.362069,0.931034,0,0.931034,0.034483,4.537037,121.303625,82.981375
E01003706,1,0,0,0,1,5.884615,92.100625,19.711125
E01012590,0,1,0,1,0.612903,6.032258,50.15231481,13.33946296
E01017659,0.72973,0.756757,0.243243,1,0.891892,5.513514,124.0948333,16.908375
E01030405,0.828571,0.142857,0,0.171429,0.828571,4.771429,102.5765595,15.52240079
E01003460,0.017544,0.789474,0,0.982456,0.561404,4.894737,31.8995625,6.39634375
W01001470,0.369565,0.956522,0,0.956522,0,2.956522,41.91882813,10.60408854
E01032622,0.857143,0.114286,0,0.142857,0.885714,4.828571,36.42735714,5.39
S01006861,0.071429,0.928571,0,0.928571,0,2.928571,51.7988,14.89293333
S01010871,0.416667,1,0,1,0.875,5.75,65.72333333,9.953333333
E01021492,0,1,0,1,0,4,33.517,8.108333333
E01024573,0.444444,1,0,1,0,4.925926,51.7925,10.42961538
95GG19S1,0.923077,0.046154,0,0.076923,0.938462,4.892308,100.4798077,13.53423077
E01018871,0.952381,0.047619,0,0.047619,0,3.380952,51.28835088,11.64411404
E01020859,0.041667,0.979167,0,1,0.020833,3.0625,24.78676111,5.988955556
E01033047,0.884615,1,0,1,0,5.730769,27.39759259,7.072055556
E01027675,0.930556,0.833333,0,0.986111,0.680556,6.958333,56.62882703,9.891192793
E01030716,0.685714,0.4,0,0.4,0.942857,5.085714,60.41642857,10.13678571
E01009766,0.689655,0.965517,0.034483,1,0.965517,5.862069,85.18275,16.037875
E01006395,0.547619,0.690476,0.309524,1,0.595238,5.738095,98.29695679,17.01120988
E01005128,0.474576,0.169492,0,0.508475,0.20339,3.403846,83.46713333,41.21713333
E01019538,0.179856,0.532374,0,0.539568,0.172662,3.594203,31.14447059,7.428676471
E01010187,0.340909,0.931818,0.022727,0.977273,0.545455,4.906977,46.45516071,11.27196429
E01017481,0.478261,0.869565,0,0.956522,0.73913,5.318182,34.1371,5.5274
E01031187,0.166667,0.888889,0,0.888889,0,2.707865,47.20565556,12.17526944
E01018931,0.185185,0.962963,0,0.962963,0,3,20.865,2.766
E01006736,0,1,0,1,1,6,52.22731481,8.43712963
E01020353,0.264706,1,0,1,0.882353,4.764706,101.1139667,13.73102667
E01014716,0.421053,0.868421,0,0.868421,0.894737,4.710526,74.573625,13.59865833
E01024845,0.611111,0.833333,0.166667,1,0.805556,5.388889,94.44729412,14.28766667
E01017509,0,0.782609,0.217391,1,1,4.869565,78.39166667,9.265
E01000786,0.689655,0.310345,0,0.310345,0.827586,4.965517,68.0844537,10.6917963
E01021819,0,0.833333,0.166667,1,1,5.791667,94.52583333,13.0185
E01008845,0.473684,0.710526,0.289474,1,0.684211,5.552632,43.12830417,8.818308333
E01023285,0.411765,0.970588,0,0.970588,0,4.323529,35.96398333,14.79023333
E01017377,0.222222,1,0,1,0.75,4.472222,83.67201852,10.96950926
E01016497,1,0.863636,0.136364,1,0.954545,8.954545,90.09205952,36.90911905
E01001708,0.722222,0.777778,0.111111,0.888889,0.833333,5.444444,95.56889286,14.00675
E01010218,0.060606,0.969697,0,0.969697,0.939394,4.727273,34.80613636,8.545954545
E01024123,0.027778,1,0,1,0,5,33.93723333,8.211233333
E01023619,0.6,0.966667,0,1,0.8,5.5,46.01116667,9.28302381
E01027817,0,1,0,1,0,2.925926,30.26718333,4.873358333
E01025009,0.039216,0.980392,0,0.980392,0.764706,6.352941,71.26588462,11.793
S01007329,0,0.315789,0,0.947368,0,1.111111,22.0880641,7.215474359
E01028419,0.111111,0.901235,0.012346,0.925926,0.012346,2.925,30.5311,6.860716667
E01011732,0.58,0.54,0.12,0.68,0.76,5.38,61.14122222,10.64625926
E01015627,0.653846,0.935897,0.012821,0.961538,0,1.987179,40.23463043,10.11602174
W01001458,0.942857,0.914286,0,0.914286,0,2.914286,43.54163333,10.58093333
E01011526,1,0.814815,0,0.814815,1,7.592593,87.58616667,14.96533333
E01016407,0.217391,0.956522,0,0.956522,0.826087,6.282609,79.33078125,16.05898958
E01030228,0.076923,0.948718,0,0.948718,0,2.897436,23.86798611,6.273333333
E01027301,0.830189,0.132075,0,0.132075,0,3.346154,74.15465972,22.90426042
E01021637,0.083333,1,0,1,0.916667,5.916667,59.71357576,15.76148485
E01031635,0,1,0,1,0,2.617647,36.60839744,8.074794872
