"","DZ_code","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"86","S01006591",318,436,344,5999,1930,2177,60,11264,468
"87","S01006592",108,187,57,6411,444,26,1580,8813,246
"88","S01006593",434,217,617,6603,598,764,2435,11668,521
"89","S01006594",5508,817,3113,6785,3465,765,1477,21930,2527
"90","S01006595",277,321,314,6399,2062,1272,905,11550,506
"91","S01006596",1366,275,857,5926,2010,287,860,11581,508
"92","S01006597",298,281,411,6926,1971,2540,3440,15867,1218
"93","S01006598",2015,264,324,3545,281,27,2722,9178,277
"94","S01006599",2542,2037,4741,6707,4538,3700,1073,25338,3464
"95","S01006600",3802,1371,3159,6369,3839,1273,181,19994,2088
"96","S01006601",1479,663,1066,6374,3434,2178,423,15617,1156
"97","S01006602",4341,644,2419,3548,426,1274,2496,15148,1077
"98","S01006603",2931,5620,5346,4200,5797,4828,497,29219,4770
"99","S01006604",2171,5452,4782,3463,3988,3942,74,23872,3026
"100","S01006605",2053,6235,5981,4237,6111,5321,161,30099,5091
"101","S01006606",5623,3595,4982,5641,3518,2541,509,26409,3794
"102","S01006607",1702,5604,3871,2409,4630,3461,1645,23322,2885
"103","S01006608",607,2853,70,6748,719,766,4475,16238,1283
"104","S01006609",3204,5764,4683,2994,5188,3701,1453,26987,4012
"105","S01006610",3060,5868,4331,5006,5222,3943,168,27598,4196
"106","S01006611",1346,5882,5466,2983,5525,3944,315,25461,3501
"107","S01006612",2851,3571,3194,3446,3387,2179,308,18936,1867
"108","S01006613",1021,2598,436,1402,328,28,2976,8789,244
"109","S01006614",394,1447,144,216,761,767,1454,5183,52
"110","S01006615",699,1292,166,89,1277,1275,1083,5881,74
"111","S01006616",852,2099,329,1982,1220,288,236,7006,130
"112","S01006617",4372,3976,2229,4158,2707,768,3501,21711,2483
"113","S01006618",5711,3905,2170,6193,345,289,1481,20094,2112
"114","S01006619",2666,3423,1978,2900,2241,769,3285,17262,1498
"115","S01006620",4819,4331,2365,5101,2977,1752,1098,22443,2650
"116","S01006621",4122,3874,1543,3348,2274,770,863,16794,1398
"117","S01006622",957,2562,432,1864,870,1276,1464,9425,291
"118","S01006623",1058,4763,3588,6142,3926,3195,3868,26540,3839
"119","S01006624",1050,3639,2939,6778,3462,3702,97,21667,2469
"120","S01006625",2215,3832,3663,5118,4374,3703,122,23027,2802
"121","S01006626",2146,5954,5608,4843,6441,5167,595,30754,5302
"122","S01006627",572,2880,2830,6227,5008,4829,73,22419,2643
"123","S01006628",305,2021,1283,6358,4171,3945,189,18272,1726
"124","S01006629",4136,5750,4768,1804,6402,5863,2269,30992,5385
"125","S01006630",2009,6818,5074,1718,6272,5597,3004,30492,5217
"126","S01006631",3973,5422,4355,5820,6002,4991,1507,32070,5744
"127","S01006632",1284,5121,3718,3392,6662,5466,109,25752,3594
"128","S01006633",583,6435,3348,1438,6702,6166,2833,27505,4170
"129","S01006634",673,5999,3763,1030,6874,6364,61,24764,3272
"130","S01006635",1641,5698,3133,1781,6193,4992,2198,25636,3550
"131","S01006636",2054,6433,4632,608,6894,6167,3638,30426,5190
"132","S01006637",1488,1918,4279,6593,4898,3462,4840,27478,4162
"133","S01006638",623,936,4147,6912,4500,4639,3853,25610,3539
"134","S01006639",2205,1631,4850,6894,5538,5168,5585,31871,5679
