"","DZ_code","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"2038","S01007946",3712,4200,5376,4220,4689,5040,2236,29473,4870
"2039","S01007947",5799,3013,5151,2289,3254,3260,3988,26754,3930
"2040","S01007948",4648,6615,5948,3659,6180,6378,6029,39457,6870
"2041","S01007949",6572,3364,4517,4500,2934,2988,6344,31219,5472
"2042","S01007950",4274,2973,1847,2937,1969,1874,4317,20191,2129
"2043","S01007951",2433,4486,2071,3656,3074,3528,5350,24598,3224
"2044","S01007952",5309,5505,6665,6571,5667,6280,4238,40235,6906
"2045","S01007953",3527,5341,4438,1612,4736,5202,5272,30128,5096
"2046","S01007954",1947,6219,6268,1586,6510,6528,6286,35344,6456
"2047","S01007955",1367,6420,3290,484,5863,5775,2666,25865,3629
"2048","S01007956",1256,6059,4351,688,5697,6081,2314,26446,3803
"2049","S01007957",5547,5892,6597,5151,5521,5350,3707,37765,6764
"2050","S01007958",5473,5709,6745,2546,6249,6082,4578,37382,6717
"2051","S01007959",6726,4925,5456,6158,2664,3261,4408,33598,6135
"2052","S01007960",2811,5336,4326,1392,5378,4012,4615,27870,4298
"2053","S01007961",2057,5133,5855,5247,1868,1443,6853,28456,4494
"2054","S01007962",1711,4845,4358,722,4682,6457,2209,24984,3344
"2055","S01007963",891,6936,4925,826,6800,6957,2830,30165,5107
"2056","S01007964",1909,6638,4694,3220,5975,6281,4789,33506,6107
"2057","S01007965",3258,5890,6383,2383,6199,6379,3660,34152,6247
"2058","S01007966",1778,6674,5575,890,6451,6458,2216,30042,5069
"2059","S01007967",1571,6287,4485,313,6673,6459,3204,28992,4680
"2060","S01007968",2696,5995,5326,4146,4293,5041,2363,29860,5007
"2061","S01007969",3089,5429,5806,3827,5546,5042,3118,31857,5673
"2062","S01007970",2403,5900,4222,4298,4666,5351,2948,29788,4977
"2063","S01007971",2101,6050,6257,5225,5906,5982,2350,33871,6183
"2064","S01007972",2997,6280,5433,3257,4718,4684,4274,31643,5610
"2065","S01007973",6349,3402,2802,5075,701,926,3207,22462,2657
"2066","S01007974",4146,6445,6592,5332,6194,5887,4285,38881,6846
"2067","S01007975",4554,5624,5931,4876,4740,5043,4631,35399,6464
"2068","S01007976",4930,5258,6822,6642,5460,6282,3567,38961,6849
"2069","S01007977",2970,2690,2762,3136,3144,2295,5589,22586,2680
"2070","S01007978",2718,3155,4242,6551,3693,5044,4183,29586,4912
"2071","S01007979",3539,1519,2672,4345,2335,3262,4984,22656,2700
"2072","S01007980",3697,3778,4187,5297,3391,3263,5875,29488,4875
"2073","S01007981",6888,4022,3346,6105,1020,2296,5111,28788,4602
"2074","S01007982",6397,3617,3425,2890,2766,2989,4312,26396,3789
"2075","S01007983",3958,6193,5921,4448,5971,6083,4406,36980,6671
"2076","S01007984",4370,4278,4054,2995,3891,3264,5238,28090,4377
"2077","S01007985",3797,6209,5953,1048,6375,5352,4231,32965,5987
"2078","S01007986",3899,5220,2636,1944,3613,3774,3962,25048,3368
"2079","S01007987",4808,3692,2714,2199,2918,4238,3074,23643,2972
"2080","S01007988",5028,5538,4763,2165,4297,4466,3652,29909,5020
"2081","S01007989",1910,4705,4030,418,4492,5983,1115,22653,2699
"2082","S01007990",1503,3870,1951,283,3461,5045,3398,19511,1980
"2083","S01007991",1005,820,283,641,852,470,2871,6942,125
"2084","S01007992",881,1175,174,104,389,471,2167,5361,56
"2085","S01007993",6298,2303,1958,3115,1520,472,3247,18913,1864
"2086","S01007994",554,823,221,123,1589,473,1830,5613,65
"2087","S01007995",2563,2025,714,322,809,474,2106,9013,261
"2088","S01007996",5564,1980,1563,3084,1822,475,4947,19435,1966
"2089","S01007997",6479,1228,1970,5401,647,476,3379,19580,1997
"2090","S01007998",5235,1085,3459,4233,1985,1875,5019,22891,2755
"2091","S01007999",1594,6534,4240,2505,6063,5203,4418,30557,5233
"2092","S01008000",3964,6288,6113,1149,6596,6084,3081,33275,6055
"2093","S01008001",2208,6735,5679,1652,6566,6826,2654,32320,5802
"2094","S01008002",1562,6372,5292,1551,6713,6657,3751,31898,5684
"2095","S01008003",4186,5289,5298,928,4768,5493,2158,28120,4389
"2096","S01008004",660,2775,554,114,3054,2990,2862,13009,704
"2097","S01008005",103,1695,163,511,4380,4013,4153,15018,1050
"2098","S01008006",1126,6869,6247,844,6840,6863,5339,34128,6239
"2099","S01008007",843,5711,3621,2966,4585,6943,2646,27315,4112
"2100","S01008008",588,5326,1949,695,6627,6596,2758,24539,3212
"2101","S01008009",826,4154,3725,2335,6386,6283,3905,27614,4203
"2102","S01008010",1387,4698,2877,5925,5806,5353,3986,30032,5063
"2103","S01008011",5344,5449,6933,6757,6738,6658,4864,42743,6957
"2104","S01008012",1558,3136,3904,6598,3041,5984,5434,29655,4935
"2105","S01008013",6871,3944,6648,6201,4311,5634,4179,37788,6767
"2106","S01008014",5258,3213,3402,5361,2975,3529,4922,28660,4549
"2107","S01008015",1709,5098,4426,5919,4437,5204,5067,31860,5676
"2108","S01008016",4599,5509,6167,6051,4410,4685,2571,33992,6209
"2109","S01008017",6531,1770,3917,4070,797,927,2682,20694,2250
"2110","S01008018",6825,2360,3059,5713,423,1876,5363,25619,3543
"2111","S01008019",5216,1286,2340,1484,1580,928,4470,17304,1509
"2112","S01008020",2027,2322,1461,6240,1226,2991,3065,19332,1943
"2113","S01008021",5706,1581,2106,4082,824,929,5502,20730,2264
"2114","S01008022",5405,1405,1536,2889,91,477,3165,14968,1036
"2115","S01008023",2272,1592,407,125,342,132,3582,8452,221
"2116","S01008024",176,410,32,957,1171,5,4874,7625,161
"2117","S01008025",6601,4227,4281,3058,1086,1877,6538,27668,4225
"2118","S01008026",4303,4968,5327,3558,4834,4686,5610,33286,6058
"2119","S01008027",2107,5705,4550,3093,5056,4687,5730,30928,5351
"2120","S01008028",1682,3537,1879,1096,3466,1878,5964,19502,1979
"2121","S01008029",1616,3414,816,6776,1908,2297,5199,22026,2542
"2122","S01008030",6404,2420,4597,3722,3292,3530,5090,29055,4701
"2123","S01008031",4774,4344,5381,3103,5364,4866,5492,33324,6067
"2124","S01008032",4150,4977,4714,1903,4336,3775,5433,29288,4790
"2125","S01008033",1395,420,449,290,1371,478,6556,10959,437
"2126","S01008034",1580,423,429,197,298,479,2974,6380,97
"2127","S01008035",6440,1101,2555,2981,2388,2992,2903,21360,2391
"2128","S01008036",5369,1250,1820,1913,583,930,237,12102,574
"2129","S01008037",4502,4288,4893,3033,5202,4688,1980,28586,4530
"2130","S01008038",1517,4151,2748,727,5239,4239,2755,21376,2397
"2131","S01008039",4678,2756,3569,734,4549,2993,3399,22678,2707
"2132","S01008040",5724,906,1803,2078,2715,931,6044,20201,2131
"2133","S01008041",6445,1767,5038,4980,2885,2298,3647,27060,4035
"2134","S01008042",5687,491,2050,3685,1741,1444,4420,19518,1981
"2135","S01008043",5024,280,1196,1679,1585,480,4441,14685,983
"2136","S01008044",5933,495,1656,3850,537,481,2042,14994,1043
"2137","S01008045",4803,1131,1613,5670,2233,1445,4440,21335,2382
"2138","S01008046",6738,3166,6857,6661,4872,5046,3155,36495,6615
"2139","S01008047",6657,668,2486,3250,276,1446,2962,17745,1608
"2140","S01008048",6269,582,2314,3917,346,932,2278,16638,1371
"2141","S01008049",6266,714,1506,2603,214,133,3368,14804,1005
"2142","S01008050",5591,438,1751,2419,1506,482,2848,15035,1052
"2143","S01008051",3560,319,1040,587,392,483,3565,9946,340
"2144","S01008052",3942,389,191,5871,97,484,3927,14901,1024
"2145","S01008053",5996,589,2265,2485,144,933,5459,17871,1626
"2146","S01008054",6908,466,2595,4804,3202,1879,3217,23071,2812
"2147","S01008055",3043,186,732,1399,62,134,448,6004,81
"2148","S01008056",6107,446,3472,2867,2470,1880,1558,18800,1846
"2149","S01008057",4072,289,2592,2710,2338,934,1875,14810,1007
"2150","S01008058",4292,417,472,795,99,485,4448,11008,444
"2151","S01008059",6198,697,892,2133,145,486,1351,11902,549
"2152","S01008060",5255,605,1202,846,770,935,1876,11489,498
"2153","S01008061",5059,1221,1233,1884,23,1881,2645,13946,856
"2154","S01008062",5292,1474,2760,2307,674,936,288,13731,822
"2155","S01008063",4319,854,1723,1289,488,1447,3003,13123,727
"2156","S01008064",2332,2903,2820,1750,5680,5047,1414,21946,2530
"2157","S01008065",2854,304,735,586,78,487,3265,8309,206
"2158","S01008066",3771,96,1043,609,24,135,3783,9461,292
"2159","S01008067",5453,331,1256,3224,271,937,4365,15837,1208
"2160","S01008068",5046,1007,1542,4307,1625,938,4083,18548,1790
"2161","S01008069",4117,2389,3111,1442,951,939,1326,14275,913
"2162","S01008070",5017,2660,1942,2786,71,2661,1600,16737,1386
"2163","S01008071",3530,956,2344,1115,1851,2299,4660,16755,1390
"2164","S01008072",5935,618,3707,3080,215,1448,4016,19019,1885
"2165","S01008073",5689,336,2289,1687,258,136,4999,15394,1122
"2166","S01008074",6013,368,1091,2417,441,940,1967,13237,744
"2167","S01008075",5510,416,2160,1963,150,488,3292,13979,859
"2168","S01008076",6970,801,5710,6175,803,489,2905,23853,3016
"2169","S01008077",6294,312,1960,2877,358,137,1783,13721,821
"2170","S01008078",4125,858,1819,2885,1360,941,3409,15397,1123
"2171","S01008079",6600,411,1827,2325,381,942,2531,15017,1049
"2172","S01008080",4199,716,2929,1846,122,1449,2832,14093,878
"2173","S01008081",4990,457,1144,2019,155,943,3295,13003,700
"2174","S01008082",4849,542,1953,2259,1197,944,2894,14638,974
"2175","S01008083",3932,622,1206,1188,304,490,2740,10482,400
"2176","S01008084",5087,1904,1967,2317,2380,2300,3952,19907,2071
"2177","S01008085",4855,770,1279,712,922,945,3548,13031,709
"2178","S01008086",4010,1781,1836,943,2585,1882,5755,18792,1842
"2179","S01008087",4756,1934,2766,1418,408,946,1063,13291,750
"2180","S01008088",5873,1792,3922,3451,432,1450,384,17304,1510
"2181","S01008089",4076,1947,1235,2238,146,1451,1585,12678,653
"2182","S01008090",3512,1462,2565,1021,1921,2301,1322,14104,881
"2183","S01008091",5753,1922,4188,2339,288,947,616,16053,1247
"2184","S01008092",5907,1009,3845,2853,1998,1452,537,17601,1576
"2185","S01008093",5328,1689,4333,2059,90,948,13,14460,941
"2186","S01008094",1827,1845,343,4517,385,491,2724,12132,578
"2187","S01008095",6093,3099,3729,4580,228,2662,1759,22150,2574
"2188","S01008096",6472,2103,4515,4093,85,1453,2000,20721,2263
"2189","S01008097",6843,1750,4267,4226,25,1454,1878,20443,2195
"2190","S01008098",4418,1921,2398,2154,274,949,1794,13908,846
"2191","S01008099",3538,3377,1913,1308,1209,1455,478,13278,748
"2192","S01008100",6203,1690,5046,4354,2422,2663,3169,25547,3521
"2193","S01008101",3862,1944,1440,2367,1727,2664,4589,18593,1800
"2194","S01008102",5165,3570,5240,3416,2071,2994,1255,23711,2997
"2195","S01008103",2010,3771,4296,6160,3899,5888,4430,30454,5202
"2196","S01008104",3491,4445,4399,2945,4225,5354,301,25160,3405
"2197","S01008105",2640,5263,6121,2055,5484,5205,1731,28499,4504
"2198","S01008106",3229,5305,6147,2840,4735,5206,244,27706,4240
"2199","S01008107",182,1457,95,1108,60,1456,2191,6549,103
"2200","S01008108",3590,1727,866,2985,449,1883,596,12096,573
"2201","S01008109",4205,2549,2245,703,1417,950,1510,13579,794
"2202","S01008110",2568,2438,1158,450,240,951,379,8184,197
"2203","S01008111",6090,1872,3543,2842,900,1457,893,17597,1575
"2204","S01008112",5826,2211,3390,3966,238,1458,425,17514,1555
"2205","S01008113",5647,1640,1921,5087,421,2302,1215,18233,1717
"2206","S01008114",4790,2013,2560,2858,317,952,1245,14735,992
"2207","S01008115",2260,2685,1890,1765,950,2303,773,12626,641
"2208","S01008116",4827,1046,1358,988,884,1459,3555,14117,885
"2209","S01008117",6287,1186,4458,3562,2417,2665,2664,23239,2866
"2210","S01008118",2610,2504,3223,1544,2778,2995,4170,19824,2049
"2211","S01008119",3655,5016,5476,2196,5651,4240,1663,27897,4308
"2212","S01008120",3874,1347,4142,3161,3124,3265,1026,19939,2077
"2213","S01008121",6432,406,1924,2652,139,138,1309,13000,698
"2214","S01008122",4073,378,1210,548,314,139,2204,8866,251
"2215","S01008123",5058,358,1389,3824,177,492,4112,15410,1126
"2216","S01008124",5037,1080,924,528,103,493,3665,11830,540
"2217","S01008125",5288,932,1763,2986,329,1460,2398,15156,1080
"2218","S01008126",5845,550,817,821,104,953,1251,10341,378
"2219","S01008127",1255,432,847,5941,680,140,4904,14199,900
"2220","S01008128",5389,1301,2084,2234,1993,954,1792,15747,1191
"2221","S01008129",1633,3667,4895,4378,4863,5048,2053,26537,3837
"2222","S01008130",2954,3392,4716,4408,4014,5049,4908,29441,4859
"2223","S01008131",3509,3746,3544,5715,4252,5635,4314,30715,5292
"2224","S01008132",5338,1289,2579,4100,601,1461,2019,17387,1527
"2225","S01008133",6636,2836,6194,5711,4508,4467,3375,33727,6165
"2226","S01008134",4647,1723,2884,5686,2289,4468,3290,24987,3345
"2227","S01008135",2647,2042,1659,1774,2567,4241,3029,17959,1646
"2228","S01008136",4410,4313,5350,5510,3787,4689,1673,29732,4957
"2229","S01008137",975,5838,4813,947,6791,6827,1504,27695,4237
"2230","S01008138",1695,6517,5798,1415,6631,6187,1499,29742,4962
"2231","S01008139",2245,4583,4836,4300,4349,6460,1241,28014,4353
"2232","S01008140",2925,4930,4487,2972,5991,5355,4643,31303,5500
"2233","S01008141",5875,2629,3905,1883,1377,1462,2414,19545,1988
"2234","S01008142",4884,1669,1356,1079,893,955,2145,12981,696
"2235","S01008143",2486,3969,4301,4039,4489,5494,1182,25960,3653
"2236","S01008144",476,2071,16,6854,54,494,3117,13082,719
"2237","S01008145",1382,5242,3433,3724,5423,4469,2239,25912,3643
"2238","S01008146",3442,5348,5338,3455,6036,4242,4457,32318,5801
"2239","S01008147",4961,4559,3694,2691,4717,3266,857,24745,3263
"2240","S01008148",4810,2812,3648,3737,3426,2996,1194,22623,2691
"2241","S01008149",2815,4366,3201,1469,4377,4867,470,21565,2442
"2242","S01008150",4322,4527,5751,2486,4848,5207,594,27735,4254
"2243","S01008151",2658,4659,4941,2432,4711,4868,1668,25937,3645
"2244","S01008152",4848,4596,6283,3130,5709,4470,1861,30897,5341
"2245","S01008153",6840,2044,4943,1023,1066,956,6120,22992,2785
"2246","S01008154",6771,1836,4316,4439,2565,2304,5404,27635,4212
"2247","S01008155",5970,1811,2033,3461,2179,3267,5616,24337,3143
"2248","S01008156",3961,3222,3365,3104,3991,3531,4728,25902,3641
"2249","S01008157",2639,1464,1041,3087,2346,2666,5381,18624,1806
"2250","S01008158",4443,1338,1115,2911,897,957,6594,18255,1720
"2251","S01008159",4334,4259,6002,2024,6135,6380,6581,35715,6522
"2252","S01008160",4011,4506,5262,748,5756,5356,5699,31338,5512
"2253","S01008161",1852,1673,853,1420,1765,1884,4581,14028,866
"2254","S01008162",3746,2642,3047,4136,3657,2667,6144,26039,3677
"2255","S01008163",1873,6167,5156,1552,5038,5357,6211,31354,5520
"2256","S01008164",323,996,911,5507,3876,2997,6434,21044,2336
"2257","S01008165",370,2265,36,5901,362,958,5055,14947,1030
"2258","S01008166",3954,6331,5448,1666,5142,4243,76,26860,3968
"2259","S01008167",1952,6798,4578,929,5945,5889,664,26755,3931
"2260","S01008168",4351,5547,5533,876,6212,5208,2422,30149,5099
"2261","S01008169",1728,5451,3040,2694,4942,4244,1968,24067,3074
"2262","S01008170",1906,2790,3060,1174,2379,1885,4002,17196,1485
"2263","S01008171",3905,4275,4619,4466,4764,5050,195,27274,4095
"2264","S01008172",5029,4715,2911,2611,3350,3532,51,22199,2591
"2265","S01008173",3015,3684,2474,364,3207,2305,41,15090,1063
"2266","S01008174",3950,3814,2872,2297,2862,2668,83,18546,1789
"2267","S01008175",2145,3324,2315,3534,3918,4869,2030,22135,2571
"2268","S01008176",5864,913,1070,5102,1735,2306,3202,20192,2130
"2269","S01008177",3836,4402,5195,2699,5091,4471,2988,28682,4560
"2270","S01008178",6623,3346,3066,5061,2911,2307,339,23653,2974
"2271","S01008179",837,1852,715,32,688,141,176,4441,35
"2272","S01008180",3324,1416,543,743,26,142,940,7134,137
"2273","S01008181",6433,2169,2898,3686,1742,495,2305,19728,2029
"2274","S01008182",4530,2886,4140,6541,3807,4245,4163,30312,5155
"2275","S01008183",2094,2155,2167,2188,2129,4014,1012,15759,1194
"2276","S01008184",5830,3287,5982,6689,4251,4690,3377,34106,6233
"2277","S01008185",2255,3471,5569,5767,4429,5358,3804,30653,5271
"2278","S01008186",1729,2579,3206,6420,2563,4472,5403,26372,3782
"2279","S01008187",1710,4734,3947,2414,5288,5890,1054,25037,3362
"2280","S01008188",2428,4751,5966,4388,5486,5636,3855,32510,5858
"2281","S01008189",5358,3526,3741,4367,3563,3268,290,24113,3082
"2282","S01008190",3138,6529,4779,1515,5923,6188,2896,30968,5373
"2283","S01008191",1840,5132,1554,5885,3718,4473,2171,24773,3274
"2284","S01008192",2792,3433,4201,4249,4197,5495,724,25091,3379
"2285","S01008193",5456,3820,3875,1608,3376,2998,159,21292,2375
"2286","S01008194",3342,3741,4245,3168,3877,4474,3160,26007,3664
"2287","S01008195",1169,5377,3014,669,6005,5496,500,22230,2597
"2288","S01008196",972,5796,2858,835,5652,5637,4133,25883,3633
"2289","S01008197",162,1790,112,2921,2722,1463,3055,12225,592
"2290","S01008198",3672,6100,3892,3225,5197,4475,1411,27972,4335
"2291","S01008199",1425,6792,4957,787,6575,5497,886,26919,3991
"2292","S01008200",5152,6713,6278,3761,6424,5776,1786,35890,6548
"2293","S01008201",3194,6063,5398,2664,6271,5498,735,29823,4993
"2294","S01008202",5171,4960,5323,3771,5037,4015,2665,30942,5364
"2295","S01008203",2401,5602,4120,4834,5309,6284,3230,31780,5651
"2296","S01008204",6174,5618,6782,6169,5577,4476,3181,37977,6792
"2297","S01008205",3248,6259,4721,1823,5325,4477,464,26317,3765
"2298","S01008206",3948,6554,5631,3376,5812,5209,2004,32534,5863
"2299","S01008207",1825,6644,2770,440,6598,5210,981,24468,3186
"2300","S01008208",605,3129,850,1027,3323,2999,943,12876,680
"2301","S01008209",667,2911,480,116,1240,1886,1177,8477,224
"2302","S01008210",4763,4359,4339,3038,4446,4478,4107,29530,4891
"2303","S01008211",5472,3828,4800,4175,4087,4479,5840,32681,5898
"2304","S01008212",2633,2435,803,297,1894,1464,930,10456,392
"2305","S01008213",3383,3071,1137,242,2500,1465,2111,13909,847
"2306","S01008214",5745,5673,6626,5064,4565,4246,2372,34291,6271
"2307","S01008215",4384,4627,3873,3648,3126,3000,1791,24449,3180
"2308","S01008216",3574,2965,2424,951,1042,959,3675,15590,1151
"2309","S01008217",5298,1401,1546,2309,894,496,4937,16881,1419
"2310","S01008218",686,1895,86,5305,582,1466,5075,15095,1066
"2311","S01008219",5865,4431,4628,2675,4072,4480,5468,31619,5604
"2312","S01008220",1368,6002,3925,328,6276,6189,2360,26448,3804
"2313","S01008221",672,6240,3010,852,6498,6597,5026,28895,4639
"2314","S01008222",4223,6710,5138,2210,6167,5051,3776,33275,6056
"2315","S01008223",5092,6116,6643,4409,6083,5359,3170,36872,6656
"2316","S01008224",5886,3762,3029,3701,1643,960,4680,23661,2977
"2317","S01008225",4316,4884,3228,2576,4305,3269,3993,26571,3850
"2318","S01008226",4716,6894,6650,5414,6210,6190,5349,41423,6939
"2319","S01008227",3757,6329,5383,4143,6156,4870,4520,35158,6421
"2320","S01008228",5193,3183,2308,3240,3381,1467,5773,24545,3213
"2321","S01008229",4084,6198,4505,1455,5985,5052,3661,30940,5361
"2322","S01008230",863,3055,996,243,2275,2308,5215,14955,1032
"2323","S01008231",133,2400,147,19,1210,961,2913,7783,170
"2324","S01008232",46,2363,181,376,3508,3533,1758,11765,531
"2325","S01008233",664,2556,351,1410,3405,1887,5285,15558,1148
"2326","S01008234",6220,6201,5656,5972,5321,4016,4384,37770,6765
"2327","S01008235",4218,4969,4710,4579,4826,4247,6087,33636,6143
"2328","S01008236",5574,3422,3353,2722,4463,3534,5652,28720,4579
"2329","S01008237",1671,3943,1382,4290,4348,4691,6407,26732,3920
"2330","S01008238",4686,5445,4285,4074,5560,4692,6250,34992,6389
"2331","S01008239",2369,4607,1082,4900,3685,4481,5794,26918,3990
"2332","S01008240",6688,1090,2101,3086,995,497,3995,18452,1768
"2333","S01008241",6929,712,1608,4396,735,498,5478,20356,2169
"2334","S01008242",6526,3401,6031,5687,4286,2669,3902,32502,5853
"2335","S01008243",3356,1565,995,1118,3175,1468,5621,17298,1507
"2336","S01008244",5226,1225,2213,4135,3069,1888,5633,23389,2905
"2337","S01008245",4667,1310,2526,2532,3114,1889,5299,21337,2383
"2338","S01008246",4835,1132,1914,1378,2434,1890,6660,20243,2143
"2339","S01008247",3938,1580,1928,1496,3277,2309,6658,21186,2359
"2340","S01008248",4501,2029,2751,2251,4497,3001,6006,25036,3361
"2341","S01008249",5140,1005,1485,4173,2570,2670,6432,23475,2928
"2342","S01008250",1871,893,128,6638,718,1891,5027,17166,1481
"2343","S01008251",1148,513,100,1673,682,143,2348,6607,105
"2344","S01008252",5796,1167,2121,2174,1876,499,3359,16992,1444
"2345","S01008253",4532,4855,6159,5126,5368,3002,4160,33202,6041
"2346","S01008254",5074,4572,4381,2371,4810,4248,5780,31236,5478
"2347","S01008255",3546,2837,1806,916,3842,3776,4882,21605,2452
"2348","S01008256",1912,4027,3655,2700,5201,5499,4480,27474,4161
"2349","S01008257",6766,3299,6086,6153,4615,4017,6730,37666,6752
"2350","S01008258",5937,2242,3123,5736,1232,2310,3857,24437,3176
"2351","S01008259",6615,2043,1903,5254,3231,3270,4734,27050,4032
"2352","S01008260",3775,3466,3953,1985,5737,4693,5751,29360,4824
"2353","S01008261",3920,5157,4945,1260,5754,5053,3100,29189,4754
"2354","S01008262",4347,1551,1841,2390,3396,1892,6066,21483,2418
"2355","S01008263",6056,912,3115,6257,2590,1469,5379,25778,3603
"2356","S01008264",4964,3612,2786,1109,5552,3003,3884,24910,3317
"2357","S01008265",6574,670,1259,5464,833,962,5250,21012,2327
"2358","S01008266",6799,498,2280,5178,2019,963,5359,23096,2817
"2359","S01008267",4706,1205,1085,4227,3388,1470,6438,22519,2669
"2360","S01008268",6801,561,1483,4234,632,964,4057,18732,1829
"2361","S01008269",6955,1251,5073,5894,2770,965,5068,27976,4339
"2362","S01008270",6932,1028,5385,5429,1823,500,5919,27016,4021
"2363","S01008271",6167,1676,5157,5383,3734,3535,4560,30212,5118
"2364","S01008272",1587,1721,158,6450,1835,1893,4481,18125,1690
"2365","S01008273",6138,911,2659,1766,2304,1471,4831,20080,2107
"2366","S01008274",4067,4534,3486,2397,5163,3536,2987,26170,3710
"2367","S01008275",6423,1325,3443,4271,3699,2311,4251,25723,3574
"2368","S01008276",6541,813,1113,1337,2173,1472,3299,16748,1389
"2369","S01008277",4056,744,381,4262,1234,1894,6929,19500,1977
"2370","S01008278",5606,526,777,4245,741,966,5955,18816,1849
"2371","S01008279",6387,3091,4155,3417,4521,1895,4082,27548,4184
"2372","S01008280",5085,1475,2151,4594,3607,2312,6671,25895,3639
"2373","S01008281",5174,1223,1370,3878,2667,2313,6723,23348,2895
"2374","S01008282",5395,2803,2487,3344,2866,1896,6374,25165,3406
"2375","S01008283",1422,1130,108,6119,1225,1473,5649,17126,1475
"2376","S01008284",927,2921,76,6470,2172,3004,5039,20609,2229
"2377","S01008285",4144,5867,5225,4397,5816,4249,6315,36013,6563
"2378","S01008286",4256,4828,4790,1800,5566,3777,5764,30781,5304
"2379","S01008287",2963,3148,1465,3699,4655,3271,5720,24921,3323
"2380","S01008288",5684,2766,5142,4032,3935,3778,5609,30946,5366
"2381","S01008289",3376,3333,4496,5430,4490,4694,6830,32649,5889
"2382","S01008290",5205,1869,4113,2685,3588,4018,4709,26187,3718
"2383","S01008291",6907,4071,5462,6466,1546,1474,6204,32130,5762
"2384","S01008292",2529,4422,1877,225,5631,4482,5035,24201,3109
"2385","S01008293",2092,825,396,70,777,501,5271,9932,339
"2386","S01008294",3133,1962,1448,276,2959,1897,5021,16696,1381
"2387","S01008295",5062,2486,1932,1491,1928,967,513,14379,930
"2388","S01008296",2989,4999,5397,2819,5509,4483,4842,31038,5403
"2389","S01008297",1161,1985,1367,685,2844,2314,3134,13490,780
"2390","S01008298",1836,2447,1366,3482,766,2671,4456,17024,1455
"2391","S01008299",3302,5055,5893,2745,6288,5985,265,29533,4893
"2392","S01008300",4757,4333,5254,2334,5208,4871,198,26955,4000
"2393","S01008301",5326,2047,1917,907,419,502,3395,14513,950
"2394","S01008302",4078,804,1135,3090,1738,503,6541,17889,1630
"2395","S01008303",3829,3275,4909,3435,3623,3779,247,23097,2818
"2396","S01008304",6006,1529,3520,5152,3509,3005,3421,26142,3703
"2397","S01008305",6094,1833,2634,2607,433,504,3245,17350,1518
"2398","S01008306",4516,1818,2089,2296,1087,1898,1431,15135,1073
"2399","S01008307",3187,2714,1668,1519,1723,1899,4892,17602,1577
"2400","S01008308",6826,1107,2523,4221,623,144,1500,16944,1435
"2401","S01008309",4005,4900,6410,2989,5902,5777,2279,32262,5792
"2402","S01008310",4509,4002,6019,4205,4537,4019,4749,32040,5729
"2403","S01008311",2210,4636,3728,1168,4955,4872,669,22238,2599
"2404","S01008312",2102,2972,1622,1029,4140,2315,2968,17148,1478
"2405","S01008313",6027,6098,6807,4106,5746,6191,2661,37636,6748
"2406","S01008314",1684,4597,3744,4043,6605,6192,4716,31581,5587
"2407","S01008315",2362,5006,5780,5082,6381,6461,1788,32860,5955
"2408","S01008316",428,5695,5077,445,6788,6851,3280,28564,4518
"2409","S01008317",2510,3063,1433,1880,4526,5360,4775,23547,2944
"2410","S01008318",2697,1891,1104,5023,1427,1900,2471,16513,1342
"2411","S01008319",4494,4600,6223,4381,4420,4250,920,29288,4791
"2412","S01008320",6339,3655,6100,6065,3729,3272,2553,31713,5631
"2413","S01008321",2673,1598,1174,469,1074,968,754,8710,239
"2414","S01008322",2967,3825,4251,2748,4686,5054,2035,25566,3525
"2415","S01008323",1472,5523,5245,994,5972,5778,1428,26412,3796
"2416","S01008324",1400,4838,4558,1299,4183,4873,2319,23470,2924
"2417","S01008325",477,4452,2731,295,5371,5055,570,18951,1869
"2418","S01008326",1114,5535,4865,1126,5789,5986,997,25412,3486
"2419","S01008327",2554,5588,4822,3008,4456,4251,348,25027,3356
"2420","S01008328",800,676,9,6658,56,2316,3293,13808,832
"2421","S01008329",2321,464,675,306,458,505,3714,8443,217
"2422","S01008330",2251,1100,1558,316,485,1475,4188,11373,486
"2423","S01008331",2480,1313,805,668,612,1901,2823,10602,409
"2424","S01008332",6008,1201,4449,4753,726,2317,5054,24508,3195
"2425","S01008333",6903,1760,5678,5793,2183,2318,4135,28770,4591
"2426","S01008334",4425,884,770,1817,469,969,3532,12866,678
"2427","S01008335",3800,2398,4095,986,4277,4695,1944,22195,2590
"2428","S01008336",5325,2402,3848,1254,4382,4484,5447,27142,4055
"2429","S01008337",946,797,957,378,3469,2672,3887,13106,725
"2430","S01008338",934,563,828,11,324,145,5165,7970,184
"2431","S01008339",1646,415,1026,350,399,970,179,4985,48
"2432","S01008340",2304,500,851,402,253,2319,3557,10186,358
"2433","S01008341",1340,355,261,23,186,506,2856,5527,62
"2434","S01008342",3552,1317,3408,1044,4386,3780,1004,18491,1777
"2435","S01008343",4194,396,1118,1626,27,146,4234,11741,530
"2436","S01008344",5131,488,590,3113,669,507,3148,13646,807
"2437","S01008345",5302,492,748,3053,72,971,4337,14975,1038
"2438","S01008346",4610,398,922,559,79,147,2429,9144,273
"2439","S01008347",5963,963,3368,5134,592,1902,3386,21308,2378
